						
	연번	경로당 명	주  소	회원수	"경로당
개설일"	"비고
(휴지/휴지시작연도)"
	141	효창파크푸르지오아파트경로당	서울 용산구 백범로 260	18	2011-03-24	
	142	효창스위첸경로당	서울 용산구 백범로275	31	2019-09-06	
	143	도원삼성래미안제2(임대)경로당	서울 용산구 새창로8길7	68	2002-05-01	
	144	도원삼성래미안제1경로당	서울 용산구 새창로 70	62	2002-02-21	
	145	송학당경로당	서울 용산구 효창원로37라길 11	50	2001-10-11	
	146	용문경로당	서울 용산구 새창로14길 45-1	30	2003-05-07	
	147	브라운스톤경로당	서울 용산구 효창원로88	35	2011-09-16	
	148	삼각지경로당	서울 용산구 이태원로2길5	41	1989-04-26	
	149	파크자이경로당	서울 용산구 한강대로 205	44	2006-12-01	
	150	한강로2가경로당	서울 용산구 서빙고로20길 19	35	1990-05-16	
	151	한강우람경로당	서울 용산구 한강대로53길 1-8	35	2006-03-10	
	152	용산파크이편한세상경로당	서울 용산구 한강대로53길 16	28	2013-02-15	
	153	한마음경로당	서울 용산구 한강대로38길38 	46	1995-08-17	
	154	한강로3가경로당	서울 용산구 한강대로7길 17-16	70	1988-12-27	
	155	삼오경로당	서울 용산구 한강대로 60	61	2001-02-21	
	156	이촌1동2경로당	서울 용산구 이촌로75길 12-12	40	1972-06-19	
	157	한가람아파트경로당	서울 용산구 이촌로201	52	1999-05-13	
	158	강촌아파트경로당	서울 용산구 이촌로87길 14	27	2001-01-12	
	159	한강대우아파트경로당	서울 용산구 이촌로65가길 3	20	2001-06-11	
	160	이촌동코오롱아파트경로당	서울 용산구 이촌로89길 21	41	2003-02-25	
	161	삼성리버스위트아파트경로당	서울 용산구 이촌로88길 30	30	2007-04-04	
	162	한강맨션경로당	서울 용산구 이촌로248	82	2009-01-12	
	163	래미안첼리투스경로당	서울 용산구 이촌로310	19	2018-06-13	
	164	우성아파트경로당	서울 용산구 이촌로 193	47	2019-01-05	
	165	이촌2동할머니(대림)경로당	서울 용산구 이촌로2가길 122(2층)	24	1994-11-24	
	166	이촌2동할아버지(대림)경로당	서울 용산구 이촌로2가길 122(1층)	25	1972-06-19	
	167	현대한강아파트경로당	서울 용산구 이촌로34길 29	46	2003-05-09	
	168	북한강아파트(성원)경로당	서울 용산구 이촌로2가길66	39	1999-10-15	
	169	동아그린아파트경로당	서울 용산구 이촌로 100-8	29	2001-01-12	
	170	청화경로당	서울 용산구 장문로27	38	1983-12-11	
	171	이태원남부경로당	서울 용산구 이태원로17길12	45	1970-07-01	
	172	이태원1동경로당	서울 용산구 이태원로 23길 19	43	1994-11-18	
	173	이화경로당	서울 용산구 보광로59길 14	58	2008-01-07	
	174	이태원북부경로당	서울 용산구 회나무로13길 32	82	1988-12-28	
	175	이태원중부경로당	서울 용산구 회나무로6길 11-5	29	1978-07-01	
	176	조양경로당	서울 용산구 녹사평대로 40나길 38-3	56	1999-07-23	
	177	한남리버탑아파트경로당	서울 용산구 독서당로 6길16	54	2002-05-02	
	178	한남시범아파트경로당	서울 용산구 독서당로34길22	26	2002-08-16	
	179	한남동제1경로당	서울 용산구 한남대로48-7	90	1988-11-02	
	180	한남동제2경로당	서울 용산구 우사단로10길 163	39	2003-03-12	
	181	한남힐스테이트아파트경로당	서울 용산구 장문로 141	46	2004-06-21	
	182	매봉경로당	서울 용산구 한남대로40길32	63	1985-12-31	
	183	일심경로당	서울 용산구 대사관로 6길15	72	1989-05-29	
	184	한일경로당	서울 용산구 이태원로  54길43	70	1993-08-14	
	185	서빙고할아버지경로당	서울 용산구 서빙고로 59길 3-20	40	1992-08-25	
	186	서빙고할머니경로당	서울 용산구 녹사평대로 14길8	55	1988-12-30	
	187	동빙고할아버지경로당	서울 용산구 서빙고로75가길 23	94	1992-09-22	
	188	신동아아파트경로당	서울 용산구 이촌로347	61	1984-07-01	
	189	용산푸르지오파크타운경로당	서울 용산구 녹사평대로 66	41	2010-08-25	
	190	보광제1경로당	서울 용산구 보광로7길 5	45	2003-03-12	
	191	보광종점경로당	서울 용산구 장문로95	30	1998-12-31	
	192	보광경로당	서울 용산구 장문로19길 1	30	1992-12-15	
	193	보광동제2경로당	서울 용산구 장문로39길 5	54	1997-12-24	
	194	보광신동아아파트경로당	서울 용산구 장문로 104 신동아아파트 	26	2001-04-09	
	195	보광동제3경로당	서울 용산구 보광로32길1	75	1993-08-23	
	196	새로나경로당	서울 용산구 보광로12가길23-6	28	2004-11-11	
	197	우사단경로당	서울 용산구 우사단로4길 30	65	"2005-06-10
(최초계약)"	
	198	보광삼성리버빌아파트경로당	서울 용산구 보광로5길 40	48	2008-07-22	
	199	우리들경로당	서울 용산구 보광로12가길8	31	2010-08-05	
	200	청계벽산(아)	서울시 성동구 무학로 50(왕십리도선동, 청계벽산아파트)	51	1989.06	
	201	도선동	서울시 성동구 무학로6길 9(왕십리도선동)	36	1989.06	
	202	도선장수	서울시 성동구 무학로6길 50(왕십리도선동)	28	2007.11	
	203	청계벽산(아)홍익동	서울시 성동구 무학로 50(왕십리도선동, 청계벽산아파트)	45	1996.10	
	204	청계대주(아)	서울시 성동구 무학로12길 11(왕십리도선동, 청계대주아파트)	44	2006.09	
	205	미소	서울시 성동구 마장로 137(상왕십리동, 텐즈힐)	31	2015.03	
	206	희망	서울시 성동구 마장로 137(상왕십리동, 텐즈힐)	23	2015.05	
	207	텐즈힐 열린	서울시 성동구 무학로 33(하왕십리동, 텐즈힐 115동)	35	2016.09	
	208	텐즈힐 행복	서울시 성동구 무학로 33(하왕십리동, 텐즈힐 121동)	23	2016.09	
	209	센트라스(아)제1	서울시 성동구 왕십리로 410(도선동, 센트라스아파트)	48	2017.12	
	210	무학	서울시 성동구 왕십리로31길 29(왕십리2동)	31	1989.06	
	211	일심	서울시 성동구 무학봉15라길 4(왕십리2동)	20	1989.06	
	212	한신무학(아)	서울시 성동구 왕십리로31나길 18(왕십리2동, 한신무학아파트)	30	1989.06	
	213	금호베스트빌(아) 제1	서울시 성동구 난계로 114-31(왕십리2동, 금호베스트빌아파트)	42	2001.07	
	214	금호베스트빌(아)모아	서울시 성동구 난계로 114-31(왕십리2동, 금호베스트빌아파트)	31	2002.11	
	215	무학현대(아)	서울시 성동구 무학봉길 49(왕십리2동, 무학현대아파트)	21	1989.06	
	216	왕십리제2	서울시 성동구 무학봉길 40(왕십리2동)	13	1999.01	
	217	일심할머니	서울시 성동구 무학봉25길 9-9(왕십리2동)	23	2000.02	
	218	왕십리제일	서울시 성동구 왕십리로31가길 12 (1층)	19	2002.05	
	219	안정	서울시 성동구 무학봉12길 3-11(왕십리2동)	28	2002.12 	
	220	하왕극동미라주(아)	서울시 성동구 난계로 73(왕십리2동, 하왕극동미라주아파트)	21	2002.05	
	221	극동미라주(아)제2	서울시 성동구 난계로 73(왕십리2동, 극동미라주아파트)	26	1905.06	
	222	풍림경로당	서울시 성동구 난계로 84(왕십리2동, 풍림아파트)	17	2005.08	
	223	왕십리자이(아)	서울시 성동구 난계로 100(왕십리자이아파트)	21	2019.03	
	224	서마	서울시 성동구 청계천로10나길 37(마장동)	25	2012.01	
	225	마장제2	서울시 성동구 마장로42길 13(마장동)	55	1989.06	
	226	마장제3	서울시 성동구 무학로14가길 8-1(마장동)	20	1989.06	
	227	마장제4	서울시 성동구 고산자로 328(마장동)	28	1989.06	
	228	마장제6	서울시 성동구 살곶이2가길 114(마장동)	30	1995.12	
	229	세림(아)	서울시 성동구 마장로42길 16(마장동, 세림아파트)	29	1989.06	
	230	정화	서울시 성동구 마장로33길 29-5(마장동)	19	1989.06	
	231	일송	서울시 성동구 마조로15가길 23(마장동, 마장SH빌)	33	2007.10	
	232	삼성(아)	서울시 성동구 마장로 271(마장동, 삼성아파트)	22	1997.08	
	233	현대(아)	서울시 성동구 살곶이길 50(마장동, 현대아파트)	22	1998.09	
	234	신성(아)	서울시 성동구 마장로39길 43(마장동, 신성아파트)	22	2004.10	
	235	마장중앙하이츠(아)	서울시 성동구 마장로 262(마장동, 마장중앙하이츠아파트)	56	2008.01	
	236	왕좌	서울시 성동구 청계천로10나길 40-5(마장동)	32	2014.02	
	237	금호어울림(아)	서울시 성동구 마조로 57(마장동, 금호어울림아파트)	38	2005.01	
	238	마장대성유니드(아)	서울시 성동구 마장로37길 7(마장동, 마장대성유니드아파트)	50	2005.07	
	239	사근제1	서울시 성동구 사근동12길 1(사근동)	71	1989.06	
	240	사근제2	서울시 성동구 사근동11길 48(사근동)	59	2003.09	
	241	사근제3	서울시 성동구 마조로 9길 2(사근동)	25	1998.01	
	242	사근제4	서울시 성동구 사근동길 72(사근동) 	62	2011.11	
	243	사근벽산(아)	서울시 성동구 살곶이길 176(사근동, 사근벽산아파트)	43	2000.12	
	244	하이츠(아)	서울시 성동구 사근동길 67(사근동, 하이츠아파트)	29	1989.06	
